FB.ID,Gene.Symbol,Chr.Arm,Start,Stop
FBgn0267431,Myo81F,3R,567075,2532932
FBgn0085804,CR41571,3R,722369,722621
FBgn0039987,CR12798,3R,1031170,1031354
FBgn0267798,CR46123,3R,1366233,1366601
FBgn0267797,CR46122,3R,1865107,1866008
FBgn0058182,CR40182,3R,2156915,2157206
FBgn0267430,Pzl,3R,2554161,3263582
FBgn0266747,CR45220,3R,2744303,2744800
FBgn0086917,spok,3R,3322809,3354486
FBgn0010247,Parp,3R,3461351,3587054
FBgn0086378,Alg-2,3R,3623143,3627690
FBgn0267816,CR46141,3R,3697234,3697640
FBgn0263977,Tim17b,3R,3734855,3745306
FBgn0069923,CG41128,3R,3750363,3752353
FBgn0039955,CG41099,3R,3846729,3868401
FBgn0259821,CG42402,3R,4077939,4104326
FBgn0027341,Gfat1,3R,4126442,4137882
FBgn0085812,CR41601,3R,4137894,4138652
FBgn0058198,CG40198,3R,4160610,4162235
FBgn0037213,CG12581,3R,4174632,4186751
FBgn0053294,CR33294,3R,4186963,4196210
FBgn0000500,Dsk,3R,4189692,4190260
FBgn0037215,beta-Man,3R,4197206,4204572
FBgn0037217,CG14636,3R,4204493,4215314
FBgn0037218,aux,3R,4211783,4227518
FBgn0051516,CG31516,3R,4218463,4220130
FBgn0261436,DhpD,3R,4227387,4229238
FBgn0037220,CG14641,3R,4230779,4232342
FBgn0015331,abs,3R,4233047,4235041
FBgn0010225,Gel,3R,4235217,4241057
FBgn0267988,CR46255,3R,4235294,4235973
FBgn0037222,CG14642,3R,4241045,4242717
FBgn0085334,CG34305,3R,4242785,4243146
FBgn0037223,TwdlU,3R,4243606,4245511
FBgn0037224,TwdlF,3R,4247020,4248313
FBgn0037225,TwdlG,3R,4248723,4251341
FBgn0250821,CG14644,3R,4251894,4253043
FBgn0037227,TwdlV,3R,4254708,4255833
FBgn0041621,Or82a,3R,4256972,4258444
FBgn0037228,CG1092,3R,4266770,4268316
FBgn0037229,CG9766,3R,4269221,4277928
FBgn0267157,CR45597,3R,4279673,4280057
FBgn0041605,cpx,3R,4280221,4304604
FBgn0037230,CG9780,3R,4292274,4294840
FBgn0262214,mir-929,3R,4295369,4295456
FBgn0037231,Vps24,3R,4307435,4310947
FBgn0027930,MP1,3R,4307908,4309835
FBgn0267815,CR46140,3R,4309944,4310869
FBgn0037232,CG9791,3R,4311555,4315398
FBgn0261086,Syt14,3R,4314455,4319069
FBgn0037234,CG9795,3R,4319683,4326379
FBgn0027866,CG9776,3R,4327814,4334071
FBgn0037236,Skp2,3R,4334879,4337674
FBgn0040687,CG14645,3R,4335098,4335506
FBgn0037235,CG1103,3R,4337755,4339914
FBgn0261434,hkb,3R,4345015,4346646
FBgn0037238,CG1090,3R,4359883,4366855
FBgn0266227,CR44922,3R,4375084,4377600
FBgn0037239,CG11739,3R,4378600,4381210
FBgn0037240,Cont,3R,4381306,4387018
FBgn0003882,tub,3R,4387742,4389813
FBgn0037241,CG14646,3R,4390366,4392111
FBgn0086608,CG34112,3R,4391711,4394259
FBgn0267814,CR46139,3R,4393350,4394493
FBgn0267661,CR45999,3R,4395549,4397548
FBgn0037242,CG9855,3R,4395979,4397875
FBgn0086605,CG9853,3R,4398381,4402027
FBgn0037244,CG14647,3R,4400510,4402017
FBgn0266697,CR45187,3R,4402429,4402928
FBgn0263594,lost,3R,4403076,4407182
FBgn0052944,CG32944,3R,4407227,4419578
FBgn0051528,CG31528,3R,4416438,4417665
FBgn0037248,srl,3R,4422483,4429335
FBgn0051525,CG31525,3R,4427030,4428200
FBgn0037249,eIF3-S10,3R,4429798,4433895
FBgn0037250,CG1074,3R,4433965,4436175
FBgn0267813,CR46138,3R,4434624,4436101
FBgn0037251,CG9804,3R,4436222,4437329
FBgn0264983,CR44134,3R,4436356,4437230
FBgn0037252,CG14650,3R,4437387,4441328
FBgn0051522,CG31522,3R,4441415,4462883
FBgn0263620,CR43629,3R,4452705,4454295
FBgn0051523,CG31523,3R,4465421,4479207
FBgn0037254,CG14651,3R,4480812,4484215
